seed,episode,start_local,start_idx_abs,static_bps,sizeaware_bps,vwap_bps,static_vs_vwap,sizeaware_vs_vwap,sizeaware_vs_static
1000,177,16032,76511,27.983,33.419,30.118,-2.135,3.301,5.436
1000,178,16501,76980,136.806,52.474,55.134,81.673,-2.66,-84.332
1000,179,13696,74175,43.127,33.468,43.135,-0.008,-9.667,-9.659
1000,180,4203,64682,129.025,35.693,39.895,89.13,-4.202,-93.332
1000,181,17063,77542,21.751,21.98,42.215,-20.464,-20.234,0.23
1000,182,10657,71136,59.971,38.507,42.26,17.711,-3.753,-21.464
1000,183,20634,81113,42.851,47.426,47.098,-4.246,0.328,4.575
1000,184,17509,77988,35.669,35.715,52.881,-17.212,-17.167,0.045
1000,185,3420,63899,10.648,30.353,34.244,-23.596,-3.891,19.705
1000,186,8680,69159,36.301,39.548,36.883,-0.582,2.664,3.246
1000,187,22401,82880,30.984,31.56,28.74,2.245,2.82,0.575
1000,188,23948,84427,25.363,30.067,28.669,-3.306,1.397,4.704
1000,189,18288,78767,40.548,41.908,45.018,-4.47,-3.11,1.36
1000,190,2478,62957,32.372,38.108,40.953,-8.581,-2.844,5.736
1000,191,8987,69466,81.54,35.63,39.019,42.521,-3.389,-45.91
1000,192,19699,80178,98.151,45.045,58.752,39.399,-13.707,-53.106
1000,193,10730,71209,53.357,26.809,51.973,1.384,-25.165,-26.549
1000,194,802,61281,50.043,47.651,56.782,-6.739,-9.131,-2.391
1000,195,7126,67605,39.558,22.908,33.148,6.41,-10.24,-16.65
1000,196,3704,64183,65.805,50.591,58.248,7.557,-7.657,-15.214
1000,197,11984,72463,95.5,65.69,48.65,46.849,17.039,-29.81
1000,198,23422,83901,36.474,33.784,37.818,-1.344,-4.034,-2.69
1000,199,11389,71868,35.4,46.079,35.554,-0.154,10.525,10.679
1000,200,17969,78448,153.659,47.873,43.791,109.868,4.083,-105.786
1000,201,2791,63270,62.581,43.476,46.269,16.313,-2.793,-19.105
1000,202,1149,61628,39.32,31.205,37.686,1.634,-6.481,-8.115
1000,203,14661,75140,82.785,45.216,44.223,38.562,0.993,-37.569
1000,204,451,60930,51.632,45.938,46.99,4.642,-1.052,-5.694
1000,205,5664,66143,289.67,66.342,42.327,247.343,24.015,-223.328
1000,206,14220,74699,90.638,105.854,47.417,43.221,58.437,15.216
1000,207,9913,70392,83.12,54.156,44.243,38.877,9.913,-28.964
1000,208,3402,63881,25.403,32.971,32.58,-7.176,0.391,7.567
1000,209,20725,81204,124.451,50.23,52.397,72.054,-2.167,-74.221
1000,210,18650,79129,42.434,46.995,56.171,-13.737,-9.175,4.562
1000,211,23478,83957,22.524,34.529,26.775,-4.251,7.754,12.005
1000,212,11968,72447,503.442,394.781,53.342,450.1,341.439,-108.661
1000,213,8668,69147,88.463,43.74,41.262,47.201,2.478,-44.723
1000,214,15674,76153,115.906,41.893,40.761,75.145,1.133,-74.013
1000,215,3947,64426,45.772,43.521,42.541,3.231,0.979,-2.252
1000,216,1231,61710,78.712,51.411,55.824,22.888,-4.412,-27.301
1000,217,16992,77471,26.844,31.784,37.306,-10.462,-5.522,4.94
1000,218,10936,71415,43.318,34.338,36.2,7.118,-1.862,-8.98
